"unigram","bigram","trigram","quadgram","freq"
"out","of","the","house",19
"president","of","the","united",19
"so","i","had","to",19
"so","proud","of","you",19
"take","the","time","to",19
"that","i","had","to",19
"that","there","is","a",19
"the","best","in","the",19
"the","fact","that","it",19
"the","last","two","years",19
"the","president","of","the",19
"there","is","only","one",19
"there","is","so","much",19
"this","is","not","the",19
"to","be","at","the",19
"to","be","the","best",19
"to","catch","up","on",19
"to","go","to","school",19
"to","think","of","it",19
"was","one","of","those",19
"we","dont","want","to",19
"we","need","to","be",19
"when","it","came","to",19
"will","be","the","first",19
"would","love","to","have",19
"you","had","a","great",19
"a","big","thank","you",18
"a","good","time","to",18
"am","not","going","to",18
"and","there","is","no",18
"are","some","of","the",18
"as","a","way","to",18
"been","one","of","the",18
"but","i","have","to",18
"but","it","was","a",18
"but","there","is","a",18
"call","call","call","call",18
"centers","for","disease","control",18
"dont","know","how","to",18
"dont","know","if","i",18
"felt","like","i","was",18
"for","a","few","weeks",18
"go","back","to","sleep",18
"going","to","be","able",18
"great","to","meet","you",18
"happy","birthday","to","my",18
"happy","cinco","de","mayo",18
"have","a","great","week",18
"have","been","able","to",18
"have","the","right","to",18
"have","to","do","with",18
"i","am","so","happy",18
"i","am","trying","to",18
"i","dont","get","it",18
"i","dont","give","a",18
"i","dont","know","about",18
"i","have","yet","to",18
"i","just","had","to",18
"i","just","wanted","to",18
"i","think","its","a",18
"i","want","to","know",18
"i","want","to","make",18
"i","want","to","thank",18
"i","wanted","to","be",18
"i","was","a","kid",18
"i","was","looking","for",18
"if","i","have","to",18
"if","you","are","not",18
"in","a","couple","of",18
"in","a","few","weeks",18
"in","the","long","run",18
"in","the","parking","lot",18
"in","the","second","quarter",18
"in","the","us","and",18
"in","the","world","and",18
"is","not","going","to",18
"it","could","be","a",18
"keep","up","with","the",18
"know","if","i","can",18
"love","to","have","you",18
"love","you","i","love",18
"of","the","th","century",18
"on","both","sides","of",18
"on","one","of","the",18
"on","the","lookout","for",18
"on","top","of","that",18
"one","of","the","many",18
"one","of","the","reasons",18
"over","the","next","few",18
"please","let","me","know",18
"right","in","front","of",18
"some","of","the","things",18
"th","anniversary","of","the",18
"thanks","to","everyone","who",18
"that","i","need","to",18
"the","back","of","my",18
"the","first","round","of",18
"the","size","of","a",18
"the","vast","majority","of",18
"to","give","it","a",18
"to","hang","out","with",18
"to","pick","up","the",18
"to","see","you","there",18
"to","sign","up","for",18
"trying","to","get","a",18
"up","in","the","air",18
"up","in","the","morning",18
"want","to","make","sure",18
"want","to","see","the",18
"was","a","bit","of",18
"what","i","want","to",18
"what","its","like","to",18
"when","you","have","a",18
"with","salt","and","pepper",18
"with","the","exception","of",18
"you","are","looking","for",18
"a","great","place","to",17
"a","great","time","at",17
"a","hell","of","a",17
"a","lot","of","good",17
"a","man","and","a",17
"and","i","had","to",17
"and","is","expected","to",17
"at","in","the","morning",17
"at","the","center","of",17
"be","a","good","day",17
"been","a","long","time",17
"before","the","end","of",17
"believe","it","or","not",17
"couple","of","weeks","ago",17
"do","you","have","to",17
"dont","even","know","what",17
"fall","in","love","with",17
"for","more","information","call",17
"for","most","of","the",17
"for","some","reason","i",17
"from","all","over","the",17
"had","nothing","to","do",17
"had","the","opportunity","to",17
"have","nothing","to","do",17
"have","to","deal","with",17
"hope","everyone","had","a",17
"how","have","you","been",17
"i","didnt","know","you",17
"i","felt","like","i",17
"i","grew","up","in",17
"i","know","i","am",17
"i","know","i","have",17
"i","love","it","when",17
"i","think","i","can",17
"i","wanna","go","to",17
"i","would","have","to",17
"if","you","are","going",17
"if","you","are","in",17
"if","you","do","not",17
"if","you","need","a",17
"im","going","to","do",17
"in","love","with","you",17
"in","terms","of","the",17
"in","the","past","year",17
"is","likely","to","be",17
"it","needs","to","be",17
"it","turns","out","that",17
"just","in","time","for",17
"let","me","know","how",17
"looking","forward","to","your",17
"me","know","what","you",17
"might","be","able","to",17
"more","than","percent","of",17
"no","such","thing","as",17
"of","the","day","i",17
"once","in","a","while",17
"one","of","my","favourite",17
"one","way","or","another",17
"over","the","past","years",17
"player","of","the","year",17
"really","looking","forward","to",17
"so","far","this","year",17
"so","that","we","can",17
"thanks","for","the","tweet",17
"that","i","am","not",17
"that","i","want","to",17
"that","i","would","be",17
"that","it","was","a",17
"that","some","of","the",17
"that","would","have","been",17
"the","best","part","of",17
"the","house","of","representatives",17
"the","last","five","years",17
"the","number","of","people",17
"the","only","one","that",17
"the","past","few","days",17
"the","problem","is","that",17
"the","rest","of","his",17
"the","winner","of","the",17
"there","will","be","no",17
"there","would","be","no",17
"think","it","would","be",17
"this","is","a","great",17
"time","of","the","year",17
"to","be","in","a",17
"to","be","the","most",17
"to","figure","out","what",17
"to","pay","for","the",17
"to","see","you","in",17
"to","the","rest","of",17
"tokyo","electric","power","co",17
"we","have","a","lot",17
"we","need","to","do",17
"we","want","to","be",17
"what","i","wanted","to",17
"what","was","going","on",17
"who","is","going","to",17
"will","be","at","the",17
"wish","i","could","have",17
"wish","i","had","a",17
"year","and","a","half",17
"you","can","get","a",17
"you","need","to","know",17
"you","want","to","do",17
"you","will","have","to",17
"a","glass","of","wine",16
"a","good","day","to",16
"a","letter","to","the",16
"all","i","can","say",16
"and","some","of","the",16
"and","the","fact","that",16
"are","part","of","the",16
"as","a","member","of",16
"at","a","news","conference",16
"be","able","to","go",16
"be","interesting","to","see",16
"be","one","of","those",16
"but","i","dont","know",16
"but","i","think","i",16
"but","i","want","to",16
"but","it","was","the",16
"cabin","in","the","woods",16
"can","be","found","in",16
"days","in","a","row",16
"did","not","respond","to",16
"do","not","have","to",16
"dont","know","what","to",16
"for","a","while","i",16
"for","minutes","or","until",16
"get","out","of","bed",16
"glad","you","enjoyed","it",16
"going","to","make","it",16
"got","out","of","the",16
"had","no","idea","what",16
"has","been","in","the",16
"have","the","ability","to",16
"have","to","be","a",16
"have","to","do","it",16
"have","to","say","that",16
"he","is","going","to",16
"he","said","he","was",16
"him","out","of","the",16
"i","came","up","with",16
"i","can","think","of",16
"i","cant","help","but",16
"i","decided","to","make",16
"i","didnt","even","know",16
"i","don’t","know","if",16
"i","hope","you","are",16
"i","just","need","to",16
"i","like","to","think",16
"i","really","wanted","to",16
"i","think","i","might",16
"i","think","it","was",16
"i","wanted","to","do",16
"i","was","on","the",16
"i","will","be","there",16
"if","i","can","get",16
"if","i","were","to",16
"if","you","are","interested",16
"if","you","have","to",16
"if","you","live","in",16
"im","going","to","go",16
"im","not","sure","how",16
"in","a","row","and",16
"in","a","written","statement",16
"in","the","number","of",16
"in","the","past","two",16
"in","the","western","conference",16
"in","the","world","of",16
"is","it","just","me",16
"is","the","last","day",16
"is","the","most","important",16
"it","was","hard","to",16
"its","a","beautiful","day",16
"its","time","for","a",16
"just","got","back","from",16
"keep","in","mind","that",16
"let","me","tell","you",16
"let","us","know","what",16
"makes","me","feel","like",16
"more","than","a","dozen",16
"more","than","half","of",16
"much","as","i","love",16
"need","to","find","a",16
"one","of","those","days",16
"other","parts","of","the",16
"roll","hall","of","fame",16
"said","at","the","time",16
"so","i","decided","to",16
"so","that","you","can",16
"some","of","my","favorite",16
"thanks","for","following","us",16
"thanks","for","the","rts",16
"that","a","lot","of",16
"that","he","would","be",16
"that","i","will","be",16
"the","beginning","of","a",16
"the","cost","of","the",16
"the","death","of","a",16
"the","first","half","of",16
"the","first","quarter","of",16
"the","fukushima","daiichi","nuclear",16
"the","idea","of","a",16
"the","life","of","the",16
"the","value","of","the",16
"there","has","been","a",16
"thought","it","was","a",16
"to","be","a","little",16
"to","deal","with","the",16
"to","see","you","at",16
"to","stay","in","the",16
"to","the","other","side",16
"up","and","down","the",16
"us","know","if","you",16
"want","it","to","be",16
"were","going","to","be",16
"were","going","to","have",16
"will","continue","to","be",16
"wish","i","could","be",16
"you","and","your","family",16
"you","may","want","to",16
"you","need","to","do",16
"a","couple","of","months",15
"a","cup","of","coffee",15
"a","large","number","of",15
"a","matter","of","time",15
"a","trip","to","the",15
"according","to","a","new",15
"all","i","have","to",15
"all","i","want","is",15
"am","i","going","to",15
"and","im","going","to",15
"and","let","me","know",15
"and","thanks","for","the",15
"anything","to","do","with",15
"are","more","likely","to",15
"are","you","kidding","me",15
"as","long","as","it",15
"as","long","as","they",15
"as","much","as","the",15
"as","soon","as","we",15
"at","the","back","of",15
"at","the","expense","of",15
"at","the","fukushima","daiichi",15
"be","sure","to","check",15
"been","a","while","since",15
"big","thank","you","to",15
"bring","to","a","boil",15
"but","that","doesnt","mean",15
"by","the","fact","that",15
"did","a","good","job",15
"due","to","the","fact",15
"end","of","the","first",15
"every","now","and","then",15
"food","and","drug","administration",15
"for","a","few","hours",15
"for","a","while","but",15
"for","all","of","us",15
"for","disease","control","and",15
"for","me","to","get",15
"for","the","kind","words",15
"for","the","purpose","of",15
"for","the","time","being",15
"fukushima","daiichi","nuclear","power",15
"going","to","get","a",15
"good","to","be","back",15
"had","a","great","day",15
